sasdate,RPI,UNRATE,DPCERA3M086SBEA,GS5,CPIAUCSL
Transform:,5,2,5,2,6
1/1/59,2583.56,6,15.188,4.01,29.01
2/1/59,2593.596,5.9,15.346,3.96,29
3/1/59,2610.396,5.6,15.491,3.99,28.97
4/1/59,2627.446,5.2,15.435,4.12,28.98
5/1/59,2642.72,5.1,15.622,4.35,29.04
6/1/59,2650.841,5,15.679,4.5,29.11
7/1/59,2649.304,5.1,15.626,4.58,29.15
8/1/59,2634.369,5.2,15.72,4.57,29.18
9/1/59,2636.381,5.5,15.878,4.9,29.25
10/1/59,2639.735,5.7,15.77,4.72,29.35
11/1/59,2659.765,5.8,15.763,4.75,29.35
12/1/59,2687.012,5.3,15.745,5.01,29.41
1/1/60,2695.694,5.2,15.789,4.92,29.37
2/1/60,2698.789,4.8,15.858,4.69,29.41
3/1/60,2703.859,5.4,16.083,4.31,29.41
4/1/60,2713.243,5.2,16.331,4.29,29.54
5/1/60,2719.777,5.1,16.002,4.49,29.57
6/1/60,2721.855,5.4,15.998,4.12,29.61
7/1/60,2726.734,5.5,16.031,3.79,29.55
8/1/60,2722.383,5.6,16.016,3.62,29.61
9/1/60,2725.93,5.5,16.092,3.61,29.61
10/1/60,2733.981,6.1,16.17,3.76,29.75
11/1/60,2722.236,6.1,16.114,3.81,29.78
12/1/60,2709.794,6.6,15.916,3.67,29.81
1/1/61,2734.05,6.6,15.956,3.67,29.84
2/1/61,2744.703,6.9,16.014,3.66,29.84
3/1/61,2755.967,6.9,16.213,3.6,29.84
4/1/61,2761.873,7,16.221,3.57,29.81
5/1/61,2783.267,7.1,16.32,3.47,29.84
6/1/61,2809.575,6.9,16.359,3.81,29.84
7/1/61,2817.586,7,16.31,3.84,29.92
8/1/61,2819.181,6.6,16.368,3.96,29.94
9/1/61,2822.627,6.7,16.46,3.9,29.98
10/1/61,2850.442,6.5,16.563,3.8,29.98
11/1/61,2875.937,6.1,16.724,3.82,29.98
12/1/61,2893.211,6,16.84,3.91,30.01
1/1/62,2890.321,5.8,16.845,3.94,30.04
2/1/62,2902.573,5.5,16.837,3.89,30.11
3/1/62,2922.539,5.6,16.976,3.68,30.17
4/1/62,2937.504,5.6,17.035,3.6,30.21
5/1/62,2941.678,5.5,17.166,3.66,30.24
6/1/62,2945.739,5.5,17.08,3.64,30.21
7/1/62,2960.008,5.4,17.135,3.8,30.22
8/1/62,2964.773,5.7,17.183,3.71,30.28
9/1/62,2966.166,5.6,17.375,3.7,30.42
10/1/62,2981.84,5.4,17.289,3.64,30.38
11/1/62,2992.828,5.7,17.519,3.6,30.38
12/1/62,3006.868,5.5,17.617,3.56,30.38
1/1/63,3025.392,5.7,17.612,3.58,30.44
2/1/63,3009.442,5.9,17.546,3.66,30.48
3/1/63,3023.049,5.7,17.635,3.68,30.51
4/1/63,3031.344,5.7,17.699,3.74,30.48
5/1/63,3044.315,5.9,17.71,3.72,30.51
6/1/63,3058.664,5.6,17.881,3.81,30.61
7/1/63,3060.387,5.6,17.973,3.89,30.69
8/1/63,3071.095,5.4,18.037,3.89,30.75
9/1/63,3091.894,5.5,18.003,3.96,30.72
10/1/63,3109.05,5.5,17.993,3.97,30.75
11/1/63,3115.477,5.7,18.127,4.01,30.78
12/1/63,3140.08,5.5,18.343,4.04,30.88
1/1/64,3151.381,5.6,18.402,4.07,30.94
2/1/64,3164.424,5.4,18.532,4.03,30.91
3/1/64,3180.427,5.4,18.597,4.14,30.94
4/1/64,3199.779,5.3,18.63,4.15,30.95
5/1/64,3218.991,5.1,18.888,4.05,30.98
6/1/64,3230.324,5.2,18.996,4.02,31.01
7/1/64,3247.888,4.9,19.136,4.03,31.02
8/1/64,3266.271,5,19.251,4.05,31.05
9/1/64,3279.764,5.1,19.171,4.08,31.08
10/1/64,3281.585,5.1,19.296,4.07,31.12
11/1/64,3303.656,4.8,19.121,4.04,31.21
12/1/64,3336.322,5,19.306,4.09,31.25
1/1/65,3357.223,4.9,19.443,4.1,31.28
2/1/65,3359.115,5.1,19.753,4.15,31.28
3/1/65,3375.375,4.7,19.814,4.15,31.31
4/1/65,3389.254,4.8,19.955,4.15,31.38
5/1/65,3407.894,4.6,19.936,4.15,31.48
6/1/65,3417.802,4.6,19.77,4.15,31.61
7/1/65,3440.831,4.4,20.018,4.15,31.58
8/1/65,3455.192,4.4,20.165,4.2,31.55
9/1/65,3539.729,4.3,20.502,4.25,31.62
10/1/65,3524.562,4.2,20.789,4.34,31.65
11/1/65,3550.773,4.1,20.78,4.46,31.75
12/1/65,3569.718,4,20.823,4.72,31.85
1/1/66,3578.381,4,20.956,4.86,31.88
2/1/66,3596.166,3.8,21.097,4.98,32.08
3/1/66,3615.405,3.8,21.261,4.92,32.18
4/1/66,3612.477,3.8,21.272,4.83,32.28
5/1/66,3624.307,3.9,21.074,4.89,32.35
6/1/66,3642.069,3.8,21.13,4.97,32.38
7/1/66,3656.698,3.8,21.312,5.17,32.45
8/1/66,3675.041,3.8,21.345,5.5,32.65
9/1/66,3697.138,3.7,21.542,5.5,32.75
10/1/66,3712.521,3.7,21.448,5.27,32.85
11/1/66,3735.585,3.6,21.493,5.36,32.88
12/1/66,3734.371,3.8,21.527,5,32.92
1/1/67,3769.197,3.9,21.629,4.7,32.9
2/1/67,3773.752,3.8,21.549,4.74,33
3/1/67,3796.76,3.8,21.661,4.54,33
4/1/67,3793.589,3.8,21.867,4.51,33.1
5/1/67,3800.579,3.8,21.865,4.75,33.1
6/1/67,3815.624,3.9,21.994,5.01,33.3
7/1/67,3835.148,3.8,21.916,5.23,33.4
8/1/67,3853.272,3.8,21.981,5.31,33.5
9/1/67,3856.287,3.8,22.165,5.4,33.6
10/1/67,3861.274,4,21.957,5.57,33.7
11/1/67,3885.754,3.9,22.107,5.78,33.9
12/1/67,3896.582,3.8,22.402,5.75,34
1/1/68,3917.876,3.7,22.545,5.54,34.1
2/1/68,3947.741,3.8,22.568,5.59,34.2
3/1/68,3981.447,3.7,22.946,5.76,34.3
4/1/68,3999.257,3.5,22.861,5.69,34.4
5/1/68,4020.251,3.5,23.019,6.04,34.5
6/1/68,4038.787,3.7,23.216,5.85,34.7
7/1/68,4063.454,3.7,23.432,5.6,34.9
8/1/68,4082.154,3.5,23.496,5.5,35
9/1/68,4101.372,3.4,23.463,5.48,35.1
10/1/68,4108.359,3.4,23.502,5.55,35.3
11/1/68,4126.968,3.4,23.632,5.66,35.4
12/1/68,4143.746,3.4,23.574,6.12,35.6
1/1/69,4147.516,3.4,23.765,6.25,35.7
2/1/69,4166.874,3.4,23.916,6.34,35.8
3/1/69,4185.653,3.4,23.811,6.41,36.1
4/1/69,4195.731,3.4,23.908,6.3,36.3
5/1/69,4212.218,3.4,24.069,6.54,36.4
6/1/69,4226.625,3.5,23.976,6.75,36.6
7/1/69,4249.802,3.5,23.945,7.01,36.8
8/1/69,4276.349,3.5,24.165,7.03,36.9
9/1/69,4287.411,3.7,24.195,7.57,37.1
10/1/69,4295.402,3.7,24.32,7.51,37.3
11/1/69,4299.542,3.5,24.292,7.53,37.5
12/1/69,4308.572,3.5,24.27,7.96,37.7
1/1/70,4316.303,3.9,24.415,8.17,37.9
2/1/70,4326.879,4.2,24.522,7.82,38.1
3/1/70,4343.672,4.4,24.397,7.21,38.3
4/1/70,4386.888,4.6,24.416,7.5,38.5
5/1/70,4361.776,4.8,24.584,7.97,38.6
6/1/70,4375.408,4.9,24.667,7.85,38.8
7/1/70,4399.934,5,24.661,7.59,38.9
8/1/70,4411.13,5.1,24.765,7.57,39
9/1/70,4408.024,5.4,24.887,7.29,39.2
10/1/70,4392.764,5.5,24.736,7.12,39.4
11/1/70,4388.306,5.9,24.573,6.47,39.6
12/1/70,4403.338,6.1,24.802,5.95,39.8
1/1/71,4441.241,5.9,25.142,5.89,39.9
2/1/71,4450.084,5.9,25.189,5.56,39.9
3/1/71,4464.048,6,25.202,5,40
4/1/71,4475.918,5.9,25.353,5.65,40.1
5/1/71,4493.209,5.9,25.335,6.28,40.3
6/1/71,4577.424,5.9,25.539,6.53,40.5
7/1/71,4520.323,6,25.43,6.85,40.6
8/1/71,4535.789,6.1,25.575,6.55,40.7
9/1/71,4562.531,6,25.83,6.14,40.8
10/1/71,4575.168,5.8,25.893,5.93,40.9
11/1/71,4598.431,6,26.024,5.78,41
12/1/71,4622.5,6,26.192,5.69,41.1
1/1/72,4644.778,5.8,26.196,5.59,41.2
2/1/72,4682.524,5.7,26.259,5.69,41.4
3/1/72,4712.202,5.8,26.686,5.87,41.4
4/1/72,4718.611,5.7,26.764,6.17,41.5
5/1/72,4738.426,5.7,26.898,5.85,41.6
6/1/72,4751.74,5.7,26.985,5.91,41.7
7/1/72,4780.516,5.6,27.184,5.97,41.8
8/1/72,4824.896,5.6,27.33,6.02,41.9
9/1/72,4843.175,5.5,27.377,6.25,42.1
10/1/72,4954.863,5.6,27.829,6.18,42.2
11/1/72,5005.278,5.3,27.938,6.12,42.4
12/1/72,5023.731,5.2,28.045,6.16,42.5
1/1/73,5003.812,4.9,28.319,6.34,42.7
2/1/73,5022.151,5,28.493,6.6,43
3/1/73,5028.119,4.9,28.53,6.8,43.4
4/1/73,5037.899,5,28.418,6.67,43.7
5/1/73,5059.894,4.9,28.478,6.8,43.9
6/1/73,5074.122,4.9,28.407,6.69,44.2
7/1/73,5089.133,4.8,28.633,7.33,44.2
8/1/73,5074.021,4.8,28.278,7.63,45
9/1/73,5104.199,4.8,28.693,7.05,45.2
10/1/73,5148.7,4.6,28.496,6.77,45.6
11/1/73,5160.48,4.8,28.547,6.92,45.9
12/1/73,5146.807,4.9,28.305,6.8,46.3
1/1/74,5102.933,5.1,28.289,6.95,46.8
2/1/74,5072.291,5.2,28.126,6.82,47.3
3/1/74,5039.098,5.1,28.17,7.31,47.8
4/1/74,5036.13,5.1,28.264,7.92,48.1
5/1/74,5040.703,5.1,28.346,8.18,48.6
6/1/74,5037.213,5.4,28.279,8.1,49
7/1/74,5057.141,5.5,28.372,8.38,49.3
8/1/74,5048.655,5.5,28.584,8.63,49.9
9/1/74,5043.366,5.9,28.298,8.37,50.6
10/1/74,5059.64,6,28.22,7.97,51
11/1/74,5029.511,6.6,27.921,7.68,51.5
12/1/74,5026.41,7.2,27.867,7.31,51.9
1/1/75,5021.74,8.1,28.094,7.41,52.3
2/1/75,5019.3,8.1,28.339,7.11,52.6
3/1/75,5022.998,8.6,28.279,7.3,52.8
4/1/75,5029.124,8.8,28.311,7.99,53
5/1/75,5059.831,9,28.877,7.72,53.1
6/1/75,5148.088,8.8,28.918,7.51,53.5
7/1/75,5091.326,8.6,29.035,7.92,54
8/1/75,5129.306,8.4,29.11,8.33,54.2
9/1/75,5141.395,8.4,29.184,8.37,54.6
10/1/75,5165.514,8.4,29.182,7.97,54.9
11/1/75,5165.194,8.3,29.403,7.8,55.3
12/1/75,5172.774,8.2,29.684,7.76,55.6
1/1/76,5206.807,7.9,29.978,7.46,55.8
2/1/76,5237.103,7.7,29.953,7.45,55.9
3/1/76,5250.841,7.6,30.102,7.49,56
4/1/76,5271.098,7.7,30.317,7.25,56.1
5/1/76,5277.153,7.4,30.1,7.59,56.4
6/1/76,5284.953,7.6,30.444,7.61,56.7
7/1/76,5317.491,7.8,30.532,7.49,57
8/1/76,5332.551,7.8,30.586,7.31,57.3
9/1/76,5337.168,7.6,30.7,7.13,57.6
10/1/76,5335.461,7.7,30.748,6.75,57.9
11/1/76,5382.241,7.8,30.926,6.52,58.1
12/1/76,5398.735,7.8,31.336,6.1,58.4
1/1/77,5372.549,7.5,31.246,6.58,58.7
2/1/77,5389.96,7.6,31.42,6.83,59.3
3/1/77,5413.846,7.4,31.441,6.93,59.6
4/1/77,5437.2,7.2,31.485,6.79,60
5/1/77,5450.793,7,31.572,6.94,60.2
6/1/77,5459.172,7.2,31.56,6.76,60.5
7/1/77,5489.51,6.9,31.816,6.84,60.8
8/1/77,5511.046,7,31.798,7.03,61.1
9/1/77,5545.405,6.8,31.897,7.04,61.3
10/1/77,5593.319,6.8,32.164,7.32,61.6
11/1/77,5637.491,6.8,32.36,7.34,62
12/1/77,5662.417,6.4,32.424,7.48,62.3
1/1/78,5642.502,6.4,32.077,7.77,62.7
2/1/78,5667.791,6.3,32.545,7.83,63
3/1/78,5700.022,6.3,32.87,7.86,63.4
4/1/78,5732.667,6.1,33.068,7.98,63.9
5/1/78,5739.268,6,33.2,8.18,64.5
6/1/78,5760.201,5.9,33.308,8.36,65
7/1/78,5791.884,6.2,33.15,8.54,65.5
8/1/78,5818.097,5.9,33.449,8.33,65.9
9/1/78,5825.741,6,33.395,8.43,66.5
10/1/78,5847.005,5.8,33.452,8.61,67.1
11/1/78,5857.195,5.9,33.573,8.84,67.5
12/1/78,5890.505,6,33.776,9.08,67.9
1/1/79,5910.093,5.9,33.654,9.2,68.5
2/1/79,5933.423,5.9,33.818,9.13,69.2
3/1/79,5951.404,5.8,33.851,9.2,69.9
4/1/79,5903.905,5.8,33.66,9.25,70.6
5/1/79,5883.494,5.6,33.755,9.24,71.4
