sasdate,GS10
Transform:,2
1/1/59,4.02
2/1/59,3.96
3/1/59,3.99
4/1/59,4.12
5/1/59,4.31
6/1/59,4.34
7/1/59,4.4
8/1/59,4.43
9/1/59,4.68
10/1/59,4.53
11/1/59,4.53
12/1/59,4.69
1/1/60,4.72
2/1/60,4.49
3/1/60,4.25
4/1/60,4.28
5/1/60,4.35
6/1/60,4.15
7/1/60,3.9
8/1/60,3.8
9/1/60,3.8
10/1/60,3.89
11/1/60,3.93
12/1/60,3.84
1/1/61,3.84
2/1/61,3.78
3/1/61,3.74
4/1/61,3.78
5/1/61,3.71
6/1/61,3.88
7/1/61,3.92
8/1/61,4.04
9/1/61,3.98
10/1/61,3.92
11/1/61,3.94
12/1/61,4.06
1/1/62,4.08
2/1/62,4.04
3/1/62,3.93
4/1/62,3.84
5/1/62,3.87
6/1/62,3.91
7/1/62,4.01
8/1/62,3.98
9/1/62,3.98
10/1/62,3.93
11/1/62,3.92
12/1/62,3.86
1/1/63,3.83
2/1/63,3.92
3/1/63,3.93
4/1/63,3.97
5/1/63,3.93
6/1/63,3.99
7/1/63,4.02
8/1/63,4
9/1/63,4.08
10/1/63,4.11
11/1/63,4.12
12/1/63,4.13
1/1/64,4.17
2/1/64,4.15
3/1/64,4.22
4/1/64,4.23
5/1/64,4.2
6/1/64,4.17
7/1/64,4.19
8/1/64,4.19
9/1/64,4.2
10/1/64,4.19
11/1/64,4.15
12/1/64,4.18
1/1/65,4.19
2/1/65,4.21
3/1/65,4.21
4/1/65,4.2
5/1/65,4.21
6/1/65,4.21
7/1/65,4.2
8/1/65,4.25
9/1/65,4.29
10/1/65,4.35
11/1/65,4.45
12/1/65,4.62
1/1/66,4.61
2/1/66,4.83
3/1/66,4.87
4/1/66,4.75
5/1/66,4.78
6/1/66,4.81
7/1/66,5.02
8/1/66,5.22
9/1/66,5.18
10/1/66,5.01
11/1/66,5.16
12/1/66,4.84
1/1/67,4.58
2/1/67,4.63
3/1/67,4.54
4/1/67,4.59
5/1/67,4.85
6/1/67,5.02
7/1/67,5.16
8/1/67,5.28
9/1/67,5.3
10/1/67,5.48
11/1/67,5.75
12/1/67,5.7
1/1/68,5.53
2/1/68,5.56
3/1/68,5.74
4/1/68,5.64
5/1/68,5.87
6/1/68,5.72
7/1/68,5.5
8/1/68,5.42
9/1/68,5.46
10/1/68,5.58
11/1/68,5.7
12/1/68,6.03
1/1/69,6.04
2/1/69,6.19
3/1/69,6.3
4/1/69,6.17
5/1/69,6.32
6/1/69,6.57
7/1/69,6.72
8/1/69,6.69
9/1/69,7.16
10/1/69,7.1
11/1/69,7.14
12/1/69,7.65
1/1/70,7.79
2/1/70,7.24
3/1/70,7.07
4/1/70,7.39
5/1/70,7.91
6/1/70,7.84
7/1/70,7.46
8/1/70,7.53
9/1/70,7.39
10/1/70,7.33
11/1/70,6.84
12/1/70,6.39
1/1/71,6.24
2/1/71,6.11
3/1/71,5.7
4/1/71,5.83
5/1/71,6.39
6/1/71,6.52
7/1/71,6.73
8/1/71,6.58
9/1/71,6.14
10/1/71,5.93
11/1/71,5.81
12/1/71,5.93
1/1/72,5.95
2/1/72,6.08
3/1/72,6.07
4/1/72,6.19
5/1/72,6.13
6/1/72,6.11
7/1/72,6.11
8/1/72,6.21
9/1/72,6.55
10/1/72,6.48
11/1/72,6.28
12/1/72,6.36
1/1/73,6.46
2/1/73,6.64
3/1/73,6.71
4/1/73,6.67
5/1/73,6.85
6/1/73,6.9
7/1/73,7.13
8/1/73,7.4
9/1/73,7.09
10/1/73,6.79
11/1/73,6.73
12/1/73,6.74
1/1/74,6.99
2/1/74,6.96
3/1/74,7.21
4/1/74,7.51
5/1/74,7.58
6/1/74,7.54
7/1/74,7.81
8/1/74,8.04
9/1/74,8.04
10/1/74,7.9
11/1/74,7.68
12/1/74,7.43
1/1/75,7.5
2/1/75,7.39
3/1/75,7.73
4/1/75,8.23
5/1/75,8.06
6/1/75,7.86
7/1/75,8.06
8/1/75,8.4
9/1/75,8.43
10/1/75,8.14
11/1/75,8.05
12/1/75,8
1/1/76,7.74
2/1/76,7.79
3/1/76,7.73
4/1/76,7.56
5/1/76,7.9
6/1/76,7.86
7/1/76,7.83
8/1/76,7.77
9/1/76,7.59
10/1/76,7.41
11/1/76,7.29
12/1/76,6.87
1/1/77,7.21
2/1/77,7.39
3/1/77,7.46
4/1/77,7.37
5/1/77,7.46
6/1/77,7.28
7/1/77,7.33
8/1/77,7.4
9/1/77,7.34
10/1/77,7.52
11/1/77,7.58
12/1/77,7.69
1/1/78,7.96
2/1/78,8.03
3/1/78,8.04
4/1/78,8.15
5/1/78,8.35
6/1/78,8.46
7/1/78,8.64
8/1/78,8.41
9/1/78,8.42
10/1/78,8.64
11/1/78,8.81
12/1/78,9.01
1/1/79,9.1
2/1/79,9.1
3/1/79,9.12
4/1/79,9.18
5/1/79,9.25
6/1/79,8.91
7/1/79,8.95
8/1/79,9.03
9/1/79,9.33
10/1/79,10.3
11/1/79,10.65
12/1/79,10.39
1/1/80,10.8
2/1/80,12.41
3/1/80,12.75
4/1/80,11.47
5/1/80,10.18
6/1/80,9.78
7/1/80,10.25
8/1/80,11.1
9/1/80,11.51
10/1/80,11.75
11/1/80,12.68
12/1/80,12.84
1/1/81,12.57
2/1/81,13.19
3/1/81,13.12
4/1/81,13.68
5/1/81,14.1
6/1/81,13.47
7/1/81,14.28
8/1/81,14.94
9/1/81,15.32
10/1/81,15.15
11/1/81,13.39
12/1/81,13.72
1/1/82,14.59
2/1/82,14.43
3/1/82,13.86
4/1/82,13.87
5/1/82,13.62
6/1/82,14.3
7/1/82,13.95
8/1/82,13.06
9/1/82,12.34
10/1/82,10.91
11/1/82,10.55
12/1/82,10.54
1/1/83,10.46
2/1/83,10.72
3/1/83,10.51
4/1/83,10.4
5/1/83,10.38
6/1/83,10.85
7/1/83,11.38
8/1/83,11.85
9/1/83,11.65
10/1/83,11.54
11/1/83,11.69
12/1/83,11.83
1/1/84,11.67
2/1/84,11.84
3/1/84,12.32
4/1/84,12.63
5/1/84,13.41
6/1/84,13.56
7/1/84,13.36
8/1/84,12.72
9/1/84,12.52
10/1/84,12.16
11/1/84,11.57
12/1/84,11.5
1/1/85,11.38
2/1/85,11.51
3/1/85,11.86
4/1/85,11.43
5/1/85,10.85
6/1/85,10.16
7/1/85,10.31
8/1/85,10.33
9/1/85,10.37
10/1/85,10.24
11/1/85,9.78
12/1/85,9.26
1/1/86,9.19
2/1/86,8.7
3/1/86,7.78
4/1/86,7.3
5/1/86,7.71
6/1/86,7.8
7/1/86,7.3
8/1/86,7.17
9/1/86,7.45
10/1/86,7.43
11/1/86,7.25
12/1/86,7.11
1/1/87,7.08
2/1/87,7.25
3/1/87,7.25
4/1/87,8.02
5/1/87,8.61
6/1/87,8.4
7/1/87,8.45
8/1/87,8.76
9/1/87,9.42
10/1/87,9.52
11/1/87,8.86
12/1/87,8.99
1/1/88,8.67
2/1/88,8.21
3/1/88,8.37
4/1/88,8.72
5/1/88,9.09
6/1/88,8.92
7/1/88,9.06
8/1/88,9.26
9/1/88,8.98
10/1/88,8.8
11/1/88,8.96
12/1/88,9.11
1/1/89,9.09
2/1/89,9.17
3/1/89,9.36
4/1/89,9.18
5/1/89,8.86
6/1/89,8.28
7/1/89,8.02
8/1/89,8.11
9/1/89,8.19
10/1/89,8.01
11/1/89,7.87
12/1/89,7.84
1/1/90,8.21
2/1/90,8.47
3/1/90,8.59
4/1/90,8.79
5/1/90,8.76
6/1/90,8.48
7/1/90,8.47
8/1/90,8.75
9/1/90,8.89
10/1/90,8.72
11/1/90,8.39
12/1/90,8.08
1/1/91,8.09
2/1/91,7.85
3/1/91,8.11
4/1/91,8.04
5/1/91,8.07
6/1/91,8.28
7/1/91,8.27
8/1/91,7.9
9/1/91,7.65
10/1/91,7.53
11/1/91,7.42
12/1/91,7.09
1/1/92,7.03
2/1/92,7.34
3/1/92,7.54
4/1/92,7.48
5/1/92,7.39
6/1/92,7.26
7/1/92,6.84
8/1/92,6.59
9/1/92,6.42
10/1/92,6.59
11/1/92,6.87
12/1/92,6.77
1/1/93,6.6
2/1/93,6.26
3/1/93,5.98
4/1/93,5.97
5/1/93,6.04
6/1/93,5.96
7/1/93,5.81
8/1/93,5.68
9/1/93,5.36
10/1/93,5.33
11/1/93,5.72
12/1/93,5.77
1/1/94,5.75
2/1/94,5.97
3/1/94,6.48
4/1/94,6.97
5/1/94,7.18
6/1/94,7.1
7/1/94,7.3
8/1/94,7.24
9/1/94,7.46
10/1/94,7.74
11/1/94,7.96
12/1/94,7.81
1/1/95,7.78
2/1/95,7.47
3/1/95,7.2
4/1/95,7.06
5/1/95,6.63
6/1/95,6.17
7/1/95,6.28
8/1/95,6.49
9/1/95,6.2
10/1/95,6.04
11/1/95,5.93
12/1/95,5.71
1/1/96,5.65
2/1/96,5.81
3/1/96,6.27
4/1/96,6.51
5/1/96,6.74
6/1/96,6.91
7/1/96,6.87
8/1/96,6.64
9/1/96,6.83
10/1/96,6.53
11/1/96,6.2
12/1/96,6.3
1/1/97,6.58
2/1/97,6.42
3/1/97,6.69
4/1/97,6.89
5/1/97,6.71
6/1/97,6.49
7/1/97,6.22
8/1/97,6.3
9/1/97,6.21
10/1/97,6.03
11/1/97,5.88
12/1/97,5.81
1/1/98,5.54
2/1/98,5.57
3/1/98,5.65
4/1/98,5.64
5/1/98,5.65
6/1/98,5.5
7/1/98,5.46
8/1/98,5.34
9/1/98,4.81
10/1/98,4.53
11/1/98,4.83
12/1/98,4.65
1/1/99,4.72
2/1/99,5
3/1/99,5.23
4/1/99,5.18
5/1/99,5.54
6/1/99,5.9
7/1/99,5.79
8/1/99,5.94
9/1/99,5.92
10/1/99,6.11
11/1/99,6.03
12/1/99,6.28
1/1/00,6.66
2/1/00,6.52
3/1/00,6.26
4/1/00,5.99
5/1/00,6.44
6/1/00,6.1
7/1/00,6.05
8/1/00,5.83
9/1/00,5.8
10/1/00,5.74
11/1/00,5.72
12/1/00,5.24
1/1/01,5.16
2/1/01,5.1
3/1/01,4.89
4/1/01,5.14
5/1/01,5.39
6/1/01,5.28
7/1/01,5.24
8/1/01,4.97
9/1/01,4.73
10/1/01,4.57
11/1/01,4.65
12/1/01,5.09
1/1/02,5.04
2/1/02,4.91
3/1/02,5.28
4/1/02,5.21
5/1/02,5.16
6/1/02,4.93
7/1/02,4.65
8/1/02,4.26
9/1/02,3.87
10/1/02,3.94
11/1/02,4.05
12/1/02,4.03
1/1/03,4.05
2/1/03,3.9
3/1/03,3.81
4/1/03,3.96
5/1/03,3.57
6/1/03,3.33
7/1/03,3.98
8/1/03,4.45
9/1/03,4.27
10/1/03,4.29
11/1/03,4.3
12/1/03,4.27
1/1/04,4.15
2/1/04,4.08
3/1/04,3.83
4/1/04,4.35
5/1/04,4.72
6/1/04,4.73
7/1/04,4.5
8/1/04,4.28
9/1/04,4.13
10/1/04,4.1
11/1/04,4.19
12/1/04,4.23
1/1/05,4.22
2/1/05,4.17
3/1/05,4.5
4/1/05,4.34
5/1/05,4.14
6/1/05,4
7/1/05,4.18
8/1/05,4.26
9/1/05,4.2
10/1/05,4.46
11/1/05,4.54
12/1/05,4.47
1/1/06,4.42
2/1/06,4.57
3/1/06,4.72
4/1/06,4.99
5/1/06,5.11
6/1/06,5.11
7/1/06,5.09
8/1/06,4.88
9/1/06,4.72
10/1/06,4.73
11/1/06,4.6
12/1/06,4.56
1/1/07,4.76
2/1/07,4.72
3/1/07,4.56
4/1/07,4.69
5/1/07,4.75
6/1/07,5.1
7/1/07,5
8/1/07,4.67
9/1/07,4.52
10/1/07,4.53
11/1/07,4.15
12/1/07,4.1
1/1/08,3.74
2/1/08,3.74
3/1/08,3.51
4/1/08,3.68
5/1/08,3.88
6/1/08,4.1
7/1/08,4.01
8/1/08,3.89
9/1/08,3.69
10/1/08,3.81
11/1/08,3.53
12/1/08,2.42
1/1/09,2.52
2/1/09,2.87
3/1/09,2.82
4/1/09,2.93
5/1/09,3.29
6/1/09,3.72
7/1/09,3.56
8/1/09,3.59
9/1/09,3.4
10/1/09,3.39
11/1/09,3.4
12/1/09,3.59
1/1/10,3.73
2/1/10,3.69
3/1/10,3.73
4/1/10,3.85
5/1/10,3.42
6/1/10,3.2
7/1/10,3.01
8/1/10,2.7
9/1/10,2.65
10/1/10,2.54
11/1/10,2.76
12/1/10,3.29
1/1/11,3.39
2/1/11,3.58
3/1/11,3.41
4/1/11,3.46
5/1/11,3.17
6/1/11,3
7/1/11,3
8/1/11,2.3
9/1/11,1.98
10/1/11,2.15
11/1/11,2.01
12/1/11,1.98
1/1/12,1.97
2/1/12,1.97
3/1/12,2.17
4/1/12,2.05
5/1/12,1.8
6/1/12,1.62
7/1/12,1.53
8/1/12,1.68
9/1/12,1.72
10/1/12,1.75
11/1/12,1.65
12/1/12,1.72
1/1/13,1.91
2/1/13,1.98
3/1/13,1.96
4/1/13,1.76
5/1/13,1.93
6/1/13,2.3
7/1/13,2.58
8/1/13,2.74
9/1/13,2.81
10/1/13,2.62
11/1/13,2.72
12/1/13,2.9
1/1/14,2.86
2/1/14,2.71
3/1/14,2.72
4/1/14,2.71
5/1/14,2.56
6/1/14,2.6
7/1/14,2.54
8/1/14,2.42
9/1/14,2.53
10/1/14,2.3
11/1/14,2.33
12/1/14,2.21
1/1/15,1.88
2/1/15,1.98
3/1/15,2.04
4/1/15,1.94
5/1/15,2.2
6/1/15,2.36
7/1/15,2.32
8/1/15,2.17
9/1/15,2.17
10/1/15,2.07
11/1/15,2.26
12/1/15,2.24
1/1/16,2.09
2/1/16,1.78
3/1/16,1.89
4/1/16,1.81
5/1/16,1.81
6/1/16,1.64
7/1/16,1.5
8/1/16,1.56
9/1/16,1.63
10/1/16,1.76
11/1/16,2.14
12/1/16,2.49
1/1/17,2.43
2/1/17,2.42
3/1/17,2.48
4/1/17,2.3
5/1/17,2.3
6/1/17,2.19
7/1/17,2.32
8/1/17,2.21
9/1/17,2.2
10/1/17,2.36
11/1/17,2.35
12/1/17,2.4
1/1/18,2.58
2/1/18,2.86
3/1/18,2.84
4/1/18,2.87
5/1/18,2.98
6/1/18,2.91
7/1/18,2.89
8/1/18,2.89
9/1/18,3
10/1/18,3.15
11/1/18,3.12
12/1/18,2.83
1/1/19,2.71
2/1/19,2.68
3/1/19,2.57
4/1/19,2.53
5/1/19,2.4
6/1/19,2.07
7/1/19,2.06
8/1/19,1.63
9/1/19,1.7
10/1/19,1.71
11/1/19,1.81
12/1/19,1.86
1/1/20,1.76
2/1/20,1.5
3/1/20,0.87
4/1/20,0.66
5/1/20,0.67
6/1/20,0.73
7/1/20,0.62
8/1/20,0.65
9/1/20,0.68
10/1/20,0.79
11/1/20,0.87
12/1/20,0.93
1/1/21,1.08
2/1/21,1.26
3/1/21,1.61
4/1/21,1.64
5/1/21,1.62
6/1/21,1.52
7/1/21,1.32
8/1/21,1.28
9/1/21,1.37
10/1/21,1.58
11/1/21,1.56
12/1/21,1.47
1/1/22,1.76
2/1/22,1.93
3/1/22,2.13
4/1/22,2.75
5/1/22,2.9
6/1/22,3.14
7/1/22,2.9
8/1/22,2.9
9/1/22,3.52
10/1/22,3.98
11/1/22,3.89
12/1/22,3.62
1/1/23,3.53
2/1/23,3.75
3/1/23,3.66
4/1/23,3.46
5/1/23,3.57
6/1/23,3.75
7/1/23,3.9
8/1/23,4.17
9/1/23,4.38
10/1/23,4.8
11/1/23,4.5
12/1/23,4.02
1/1/24,4.06
2/1/24,4.21
3/1/24,4.21
4/1/24,4.54
5/1/24,4.48
6/1/24,4.31
7/1/24,4.25
8/1/24,3.87
9/1/24,3.72
10/1/24,4.1
11/1/24,4.36
12/1/24,4.39
1/1/25,4.63
2/1/25,4.45
3/1/25,4.28
4/1/25,4.28
5/1/25,4.42
6/1/25,4.38
7/1/25,4.39
8/1/25,4.26
9/1/25,4.12
10/1/25,4.06
11/1/25,4.09
12/1/25,4.14
1/1/26,4.21
2/1/26,4.13
3/1/26,4.25
4/1/26,4.32
5/1/26,4.48
6/1/26,4.47
