series,transform,seed,best_epoch,train_mse,val_mse,test_mse,ar1_test_mse,test_mse_ratio,csv_path,p,split,n_hidden,lr,batch_size,max_epochs,patience,run_id
RPI,5,0,5,1.5814643120393157e-05,6.001145811751485e-05,0.0005782169755548,0.000487734954385,1.1855147357315352,2026-rev-08-MD.csv,12,"(0.6, 0.2, 0.2)",50,0.01,32,500,30,p12_h50_lr0.01_bs32
RPI,5,1,4,1.6874704670044594e-05,6.098048834246583e-05,0.0005644763004966,0.000487734954385,1.1573423135282903,2026-rev-08-MD.csv,12,"(0.6, 0.2, 0.2)",50,0.01,32,500,30,p12_h50_lr0.01_bs32
RPI,5,2,4,1.6946569303399883e-05,6.06750363658648e-05,0.0005811144364997,0.000487734954385,1.1914553822218077,2026-rev-08-MD.csv,12,"(0.6, 0.2, 0.2)",50,0.01,32,500,30,p12_h50_lr0.01_bs32
RPI,5,3,4,1.689706368779298e-05,6.094495620345697e-05,0.00055245263502,0.000487734954385,1.1326902655901845,2026-rev-08-MD.csv,12,"(0.6, 0.2, 0.2)",50,0.01,32,500,30,p12_h50_lr0.01_bs32
RPI,5,4,3,1.7308895621681586e-05,5.9231038903817534e-05,0.0005108657060191,0.000487734954385,1.0474248388927103,2026-rev-08-MD.csv,12,"(0.6, 0.2, 0.2)",50,0.01,32,500,30,p12_h50_lr0.01_bs32
UNRATE,2,0,2,0.0284125655889511,0.0232184566557407,1.0372498035430908,0.7813125296189353,1.3275734923244893,2026-rev-08-MD.csv,12,"(0.6, 0.2, 0.2)",50,0.01,32,500,30,p12_h50_lr0.01_bs32
UNRATE,2,1,1,0.0295639839023351,0.0231008268892765,1.02511465549469,0.7813125296189353,1.3120417459510891,2026-rev-08-MD.csv,12,"(0.6, 0.2, 0.2)",50,0.01,32,500,30,p12_h50_lr0.01_bs32
UNRATE,2,2,0,0.0308606922626495,0.0226385258138179,0.9819989204406738,0.7813125296189353,1.2568580218720131,2026-rev-08-MD.csv,12,"(0.6, 0.2, 0.2)",50,0.01,32,500,30,p12_h50_lr0.01_bs32
UNRATE,2,3,3,0.0276746563613414,0.0234658904373645,1.0010195970535278,0.7813125296189353,1.281202539452105,2026-rev-08-MD.csv,12,"(0.6, 0.2, 0.2)",50,0.01,32,500,30,p12_h50_lr0.01_bs32
UNRATE,2,4,2,0.0276810750365257,0.022230239585042,1.0211398601531982,0.7813125296189353,1.3069544150933206,2026-rev-08-MD.csv,12,"(0.6, 0.2, 0.2)",50,0.01,32,500,30,p12_h50_lr0.01_bs32
DPCERA3M086SBEA,5,0,2,2.884284549509175e-05,1.5003121006884612e-05,0.0002171299420297,0.0002060572784116,1.0537358529792744,2026-rev-08-MD.csv,12,"(0.6, 0.2, 0.2)",50,0.01,32,500,30,p12_h50_lr0.01_bs32
